iter	RMSE
432	13218.5109
433	13213.24216
434	13212.64
435	13212.2886
436	13211.84627
437	13211.79057
438	13211.54308
439	13209.47458
440	13208.72651
441	13206.1532
442	13202.76376
443	13202.45394
444	13196.71762
445	13195.02626
446	13194.96819
447	13194.91598
448	13192.75487
449	13188.69537
450	13181.55153
451	13174.49911
452	13174.27828
453	13168.69306
454	13167.18703
455	13164.38445
456	13161.12405
457	13141.27026
458	13133.34283
459	13128.94748
460	13124.88245
461	13122.58376
462	13121.94414
463	13118.66264
464	13117.93138
465	13116.06008
466	13112.00877
467	13108.61881
468	13106.36525
469	13104.21506
470	13103.92992
471	13103.74371
472	13102.68084
473	13099.85903
474	13099.16393
475	13096.19833
476	13093.44272
477	13090.952
478	13080.29748
479	13075.139
480	13073.27389
481	13066.79249
482	13063.57143
483	13061.53399
484	13054.032
485	13042.16558
486	13041.52486
487	13039.4084
488	13037.87971
489	13034.14034
490	13031.81518
491	13030.07332
492	13029.78371
493	13029.46458
494	13029.12187
495	13028.35774
496	13027.30928
497	13023.2829
498	13020.18379
499	13018.37349
